Cod_setor,Situacao_setor,V002,V004,Target_2_10_salarios_per_capita
355030809000032,1,249917,2357,18
355030809000033,1,406042,0,36
355030809000034,1,977035,0,81
355030809000035,1,724111,0,82
355030809000036,1,585431,0,61
355030809000037,1,276159,0,11
355030809000038,1,36316,0,5
355030809000039,1,616672,0,83
355030809000040,1,1480480,3800,194
355030809000041,1,426091,0,38
355030809000042,1,121120,0,7
355030809000043,1,700129,0,104
355030809000044,1,186978,1410,1
355030809000045,1,128832,0,3
355030809000046,1,63600,0,8
355030809000047,1,842668,5000,95
355030809000048,1,330735,0,70
355030809000049,1,1226510,0,188
355030809000050,1,901704,0,196
355030810000001,1,293932,10500,32
355030810000002,1,251668,0,21
355030810000003,1,125000,0,16
355030810000004,1,1420141,0,206
355030810000005,1,456620,0,72
355030810000006,1,474645,0,39
355030810000007,1,325080,0,37
